Surname,Approximate,%,Rank
MENDOZA,"106,941",0.043,246
MORENO,"106,941",0.043,247
BOWMAN,"106,941",0.043,248
MEDINA,"104,454",0.042,249
FOWLER,"104,454",0.042,250
BREWER,"104,454",0.042,251
HOFFMAN,"104,454",0.042,252
CARLSON,"104,454",0.042,253
SILVA,"104,454",0.042,254
PEARSON,"104,454",0.042,255
HOLLAND,"104,454",0.042,256
DOUGLAS,"101,967",0.041,257
FLEMING,"101,967",0.041,258
JENSEN,"101,967",0.041,259
VARGAS,"101,967",0.041,260
BYRD,"101,967",0.041,261
DAVIDSON,"101,967",0.041,262
HOPKINS,"101,967",0.041,263
MAY,"99,480",0.04,264
TERRY,"99,480",0.04,265
HERRERA,"99,480",0.04,266
WADE,"99,480",0.04,267
SOTO,"99,480",0.04,268
WALTERS,"99,480",0.04,269
CURTIS,"99,480",0.04,270
NEAL,"96,993",0.039,271
CALDWELL,"96,993",0.039,272
LOWE,"96,993",0.039,273
JENNINGS,"96,993",0.039,274
BARNETT,"96,993",0.039,275
GRAVES,"96,993",0.039,276
JIMENEZ,"96,993",0.039,277
HORTON,"96,993",0.039,278
SHELTON,"96,993",0.039,279
BARRETT,"96,993",0.039,280
OBRIEN,"96,993",0.039,281
CASTRO,"96,993",0.039,282
SUTTON,"94,506",0.038,283
GREGORY,"94,506",0.038,284
MCKINNEY,"94,506",0.038,285
LUCAS,"94,506",0.038,286
MILES,"94,506",0.038,287
CRAIG,"94,506",0.038,288
RODRIQUEZ,"92,019",0.037,289
CHAMBERS,"92,019",0.037,290
HOLT,"92,019",0.037,291
LAMBERT,"92,019",0.037,292
FLETCHER,"92,019",0.037,293
WATTS,"92,019",0.037,294
BATES,"92,019",0.037,295
HALE,"92,019",0.037,296
RHODES,"92,019",0.037,297
PENA,"92,019",0.037,298
BECK,"92,019",0.037,299
NEWMAN,"89,532",0.036,300
HAYNES,"89,532",0.036,301
MCDANIEL,"89,532",0.036,302
MENDEZ,"89,532",0.036,303
BUSH,"89,532",0.036,304
VAUGHN,"89,532",0.036,305
PARKS,"87,045",0.035,306
DAWSON,"87,045",0.035,307
SANTIAGO,"87,045",0.035,308
NORRIS,"87,045",0.035,309
HARDY,"87,045",0.035,310
LOVE,"87,045",0.035,311
STEELE,"87,045",0.035,312
CURRY,"87,045",0.035,313
POWERS,"87,045",0.035,314
SCHULTZ,"87,045",0.035,315
BARKER,"87,045",0.035,316
GUZMAN,"84,558",0.034,317
PAGE,"84,558",0.034,318
MUNOZ,"84,558",0.034,319
BALL,"84,558",0.034,320
KELLER,"84,558",0.034,321
CHANDLER,"84,558",0.034,322
WEBER,"84,558",0.034,323
LEONARD,"84,558",0.034,324
WALSH,"82,071",0.033,325
LYONS,"82,071",0.033,326
RAMSEY,"82,071",0.033,327
WOLFE,"82,071",0.033,328
SCHNEIDER,"82,071",0.033,329
MULLINS,"82,071",0.033,330
BENSON,"82,071",0.033,331
SHARP,"82,071",0.033,332
BOWEN,"82,071",0.033,333
DANIEL,"82,071",0.033,334
BARBER,"79,584",0.032,335
CUMMINGS,"79,584",0.032,336
HINES,"79,584",0.032,337
BALDWIN,"79,584",0.032,338
GRIFFITH,"79,584",0.032,339
VALDEZ,"79,584",0.032,340
HUBBARD,"79,584",0.032,341
SALAZAR,"79,584",0.032,342
REEVES,"79,584",0.032,343
WARNER,"77,097",0.031,344
STEVENSON,"77,097",0.031,345
BURGESS,"77,097",0.031,346
SANTOS,"77,097",0.031,347
TATE,"77,097",0.031,348
CROSS,"77,097",0.031,349
GARNER,"77,097",0.031,350
MANN,"77,097",0.031,351
MACK,"77,097",0.031,352
MOSS,"77,097",0.031,353
THORNTON,"77,097",0.031,354
DENNIS,"77,097",0.031,355
MCGEE,"77,097",0.031,356
FARMER,"74,610",0.03,357
DELGADO,"74,610",0.03,358
AGUILAR,"74,610",0.03,359
VEGA,"74,610",0.03,360
GLOVER,"74,610",0.03,361
MANNING,"74,610",0.03,362
COHEN,"74,610",0.03,363
HARMON,"74,610",0.03,364
RODGERS,"74,610",0.03,365
ROBBINS,"74,610",0.03,366
NEWTON,"74,610",0.03,367
TODD,"74,610",0.03,368
BLAIR,"74,610",0.03,369
HIGGINS,"74,610",0.03,370
INGRAM,"74,610",0.03,371
REESE,"74,610",0.03,372
CANNON,"74,610",0.03,373
STRICKLAND,"74,610",0.03,374
TOWNSEND,"74,610",0.03,375
POTTER,"74,610",0.03,376
GOODWIN,"74,610",0.03,377
WALTON,"74,610",0.03,378
ROWE,"72,123",0.029,379
HAMPTON,"72,123",0.029,380
ORTEGA,"72,123",0.029,381
PATTON,"72,123",0.029,382
SWANSON,"72,123",0.029,383
JOSEPH,"72,123",0.029,384
FRANCIS,"72,123",0.029,385
GOODMAN,"72,123",0.029,386
MALDONADO,"72,123",0.029,387
YATES,"72,123",0.029,388
BECKER,"72,123",0.029,389
ERICKSON,"72,123",0.029,390
HODGES,"72,123",0.029,391
RIOS,"72,123",0.029,392
CONNER,"72,123",0.029,393
ADKINS,"72,123",0.029,394
WEBSTER,"69,636",0.028,395
NORMAN,"69,636",0.028,396
MALONE,"69,636",0.028,397
HAMMOND,"69,636",0.028,398
FLOWERS,"69,636",0.028,399
COBB,"69,636",0.028,400
MOODY,"69,636",0.028,401
QUINN,"69,636",0.028,402
BLAKE,"69,636",0.028,403
MAXWELL,"69,636",0.028,404
POPE,"69,636",0.028,405
FLOYD,"67,149",0.027,406
OSBORNE,"67,149",0.027,407
PAUL,"67,149",0.027,408
MCCARTHY,"67,149",0.027,409
GUERRERO,"67,149",0.027,410
LINDSEY,"67,149",0.027,411
ESTRADA,"67,149",0.027,412
SANDOVAL,"67,149",0.027,413
GIBBS,"67,149",0.027,414
TYLER,"67,149",0.027,415
GROSS,"67,149",0.027,416
FITZGERALD,"67,149",0.027,417
STOKES,"67,149",0.027,418
DOYLE,"67,149",0.027,419
SHERMAN,"67,149",0.027,420
SAUNDERS,"67,149",0.027,421
WISE,"67,149",0.027,422
COLON,"67,149",0.027,423
GILL,"67,149",0.027,424
ALVARADO,"67,149",0.027,425
GREER,"64,662",0.026,426
PADILLA,"64,662",0.026,427
SIMON,"64,662",0.026,428
WATERS,"64,662",0.026,429
NUNEZ,"64,662",0.026,430
BALLARD,"64,662",0.026,431
SCHWARTZ,"64,662",0.026,432
MCBRIDE,"64,662",0.026,433
HOUSTON,"64,662",0.026,434
CHRISTENSEN,"64,662",0.026,435
KLEIN,"64,662",0.026,436
PRATT,"64,662",0.026,437
BRIGGS,"64,662",0.026,438
PARSONS,"64,662",0.026,439
MCLAUGHLIN,"64,662",0.026,440
ZIMMERMAN,"64,662",0.026,441
FRENCH,"64,662",0.026,442
BUCHANAN,"64,662",0.026,443
MORAN,"64,662",0.026,444
COPELAND,"62,175",0.025,445
ROY,"62,175",0.025,446
PITTMAN,"62,175",0.025,447
BRADY,"62,175",0.025,448
MCCORMICK,"62,175",0.025,449
HOLLOWAY,"62,175",0.025,450
BROCK,"62,175",0.025,451
POOLE,"62,175",0.025,452
FRANK,"62,175",0.025,453
LOGAN,"62,175",0.025,454
OWEN,"62,175",0.025,455
BASS,"62,175",0.025,456
MARSH,"62,175",0.025,457
DRAKE,"62,175",0.025,458
WONG,"62,175",0.025,459
JEFFERSON,"62,175",0.025,460
PARK,"62,175",0.025,461
MORTON,"62,175",0.025,462
ABBOTT,"62,175",0.025,463
SPARKS,"62,175",0.025,464
PATRICK,"59,688",0.024,465
NORTON,"59,688",0.024,466
HUFF,"59,688",0.024,467
CLAYTON,"59,688",0.024,468
MASSEY,"59,688",0.024,469
LLOYD,"59,688",0.024,470
FIGUEROA,"59,688",0.024,471
CARSON,"59,688",0.024,472
BOWERS,"59,688",0.024,473
ROBERSON,"59,688",0.024,474
BARTON,"59,688",0.024,475
TRAN,"59,688",0.024,476
LAMB,"59,688",0.024,477
HARRINGTON,"59,688",0.024,478
CASEY,"59,688",0.024,479
BOONE,"59,688",0.024,480
CORTEZ,"59,688",0.024,481
CLARKE,"59,688",0.024,482
MATHIS,"59,688",0.024,483
SINGLETON,"59,688",0.024,484
WILKINS,"59,688",0.024,485
CAIN,"59,688",0.024,486
BRYAN,"59,688",0.024,487
UNDERWOOD,"59,688",0.024,488
HOGAN,"59,688",0.024,489
MCKENZIE,"57,201",0.023,490
COLLIER,"57,201",0.023,491
LUNA,"57,201",0.023,492
PHELPS,"57,201",0.023,493
MCGUIRE,"57,201",0.023,494
ALLISON,"57,201",0.023,495
BRIDGES,"57,201",0.023,496
WILKERSON,"57,201",0.023,497
NASH,"57,201",0.023,498
SUMMERS,"57,201",0.023,499
ATKINS,"57,201",0.023,500
WILCOX,"57,201",0.023,501
PITTS,"57,201",0.023,502
CONLEY,"57,201",0.023,503
MARQUEZ,"57,201",0.023,504
BURNETT,"57,201",0.023,505
RICHARD,"57,201",0.023,506
COCHRAN,"57,201",0.023,507
CHASE,"57,201",0.023,508
DAVENPORT,"57,201",0.023,509
HOOD,"57,201",0.023,510
GATES,"57,201",0.023,511
CLAY,"57,201",0.023,512
AYALA,"57,201",0.023,513
SAWYER,"57,201",0.023,514
ROMAN,"57,201",0.023,515
VAZQUEZ,"57,201",0.023,516
DICKERSON,"57,201",0.023,517
HODGE,"54,714",0.022,518
ACOSTA,"54,714",0.022,519
FLYNN,"54,714",0.022,520
ESPINOZA,"54,714",0.022,521
NICHOLSON,"54,714",0.022,522
MONROE,"54,714",0.022,523
WOLF,"54,714",0.022,524
MORROW,"54,714",0.022,525
KIRK,"54,714",0.022,526
RANDALL,"54,714",0.022,527
ANTHONY,"54,714",0.022,528
WHITAKER,"54,714",0.022,529
OCONNOR,"54,714",0.022,530
SKINNER,"54,714",0.022,531
WARE,"54,714",0.022,532
MOLINA,"54,714",0.022,533
KIRBY,"54,714",0.022,534
HUFFMAN,"54,714",0.022,535
BRADFORD,"54,714",0.022,536
CHARLES,"54,714",0.022,537
GILMORE,"54,714",0.022,538
DOMINGUEZ,"54,714",0.022,539
ONEAL,"54,714",0.022,540
BRUCE,"54,714",0.022,541
LANG,"52,227",0.021,542
COMBS,"52,227",0.021,543
KRAMER,"52,227",0.021,544
HEATH,"52,227",0.021,545
HANCOCK,"52,227",0.021,546
GALLAGHER,"52,227",0.021,547
GAINES,"52,227",0.021,548
SHAFFER,"52,227",0.021,549
SHORT,"52,227",0.021,550
WIGGINS,"52,227",0.021,551
MATHEWS,"52,227",0.021,552
MCCLAIN,"52,227",0.021,553
FISCHER,"52,227",0.021,554
WALL,"52,227",0.021,555
SMALL,"52,227",0.021,556
MELTON,"52,227",0.021,557
HENSLEY,"52,227",0.021,558
BOND,"52,227",0.021,559
DYER,"52,227",0.021,560
CAMERON,"52,227",0.021,561
GRIMES,"52,227",0.021,562
CONTRERAS,"52,227",0.021,563
CHRISTIAN,"52,227",0.021,564
WYATT,"52,227",0.021,565
BAXTER,"52,227",0.021,566
SNOW,"52,227",0.021,567
MOSLEY,"52,227",0.021,568
SHEPHERD,"52,227",0.021,569
LARSEN,"52,227",0.021,570
HOOVER,"52,227",0.021,571
BEASLEY,"49,740",0.02,572
GLENN,"49,740",0.02,573
PETERSEN,"49,740",0.02,574
WHITEHEAD,"49,740",0.02,575
MEYERS,"49,740",0.02,576
KEITH,"49,740",0.02,577
GARRISON,"49,740",0.02,578
VINCENT,"49,740",0.02,579
SHIELDS,"49,740",0.02,580
HORN,"49,740",0.02,581
SAVAGE,"49,740",0.02,582
OLSEN,"49,740",0.02,583
SCHROEDER,"49,740",0.02,584
HARTMAN,"49,740",0.02,585
WOODARD,"49,740",0.02,586
MUELLER,"49,740",0.02,587
KEMP,"49,740",0.02,588
DELEON,"49,740",0.02,589
BOOTH,"49,740",0.02,590
PATEL,"49,740",0.02,591
CALHOUN,"49,740",0.02,592
WILEY,"49,740",0.02,593
EATON,"49,740",0.02,594
CLINE,"49,740",0.02,595
NAVARRO,"49,740",0.02,596
HARRELL,"49,740",0.02,597
LESTER,"49,740",0.02,598
HUMPHREY,"49,740",0.02,599
PARRISH,"49,740",0.02,600
DURAN,"49,740",0.02,601
HUTCHINSON,"49,740",0.02,602
HESS,"49,740",0.02,603
DORSEY,"49,740",0.02,604
BULLOCK,"49,740",0.02,605
ROBLES,"49,740",0.02,606
BEARD,"47,253",0.019,607
DALTON,"47,253",0.019,608
AVILA,"47,253",0.019,609
VANCE,"47,253",0.019,610
RICH,"47,253",0.019,611
BLACKWELL,"47,253",0.019,612
YORK,"47,253",0.019,613
JOHNS,"47,253",0.019,614
BLANKENSHIP,"47,253",0.019,615
TREVINO,"47,253",0.019,616
SALINAS,"47,253",0.019,617
CAMPOS,"47,253",0.019,618
PRUITT,"47,253",0.019,619
MOSES,"47,253",0.019,620
CALLAHAN,"47,253",0.019,621
GOLDEN,"47,253",0.019,622
MONTOYA,"47,253",0.019,623
HARDIN,"47,253",0.019,624
GUERRA,"47,253",0.019,625
MCDOWELL,"47,253",0.019,626
CAREY,"47,253",0.019,627
STAFFORD,"47,253",0.019,628
GALLEGOS,"47,253",0.019,629
HENSON,"47,253",0.019,630
WILKINSON,"47,253",0.019,631
BOOKER,"47,253",0.019,632
MERRITT,"47,253",0.019,633
MIRANDA,"47,253",0.019,634
ATKINSON,"47,253",0.019,635
ORR,"47,253",0.019,636
DECKER,"47,253",0.019,637
HOBBS,"47,253",0.019,638
PRESTON,"47,253",0.019,639
TANNER,"47,253",0.019,640
KNOX,"47,253",0.019,641
PACHECO,"47,253",0.019,642
STEPHENSON,"44,766",0.018,643
GLASS,"44,766",0.018,644
ROJAS,"44,766",0.018,645
SERRANO,"44,766",0.018,646
MARKS,"44,766",0.018,647
HICKMAN,"44,766",0.018,648
ENGLISH,"44,766",0.018,649
SWEENEY,"44,766",0.018,650
STRONG,"44,766",0.018,651
PRINCE,"44,766",0.018,652
MCCLURE,"44,766",0.018,653
CONWAY,"44,766",0.018,654
WALTER,"44,766",0.018,655
ROTH,"44,766",0.018,656
MAYNARD,"44,766",0.018,657
FARRELL,"44,766",0.018,658
LOWERY,"44,766",0.018,659
HURST,"44,766",0.018,660
NIXON,"44,766",0.018,661
WEISS,"44,766",0.018,662
TRUJILLO,"44,766",0.018,663
ELLISON,"44,766",0.018,664
SLOAN,"44,766",0.018,665
JUAREZ,"44,766",0.018,666
WINTERS,"44,766",0.018,667
MCLEAN,"44,766",0.018,668
RANDOLPH,"44,766",0.018,669
LEON,"44,766",0.018,670
BOYER,"44,766",0.018,671
VILLARREAL,"44,766",0.018,672
MCCALL,"44,766",0.018,673
GENTRY,"44,766",0.018,674
CARRILLO,"42,279",0.017,675
KENT,"42,279",0.017,676
AYERS,"42,279",0.017,677
LARA,"42,279",0.017,678
SHANNON,"42,279",0.017,679
SEXTON,"42,279",0.017,680
PACE,"42,279",0.017,681
HULL,"42,279",0.017,682
LEBLANC,"42,279",0.017,683
BROWNING,"42,279",0.017,684
VELASQUEZ,"42,279",0.017,685
LEACH,"42,279",0.017,686
CHANG,"42,279",0.017,687
HOUSE,"42,279",0.017,688
SELLERS,"42,279",0.017,689
HERRING,"42,279",0.017,690
NOBLE,"42,279",0.017,691
FOLEY,"42,279",0.017,692
BARTLETT,"42,279",0.017,693
MERCADO,"42,279",0.017,694
LANDRY,"42,279",0.017,695
DURHAM,"42,279",0.017,696
WALLS,"42,279",0.017,697
BARR,"42,279",0.017,698
MCKEE,"42,279",0.017,699
BAUER,"42,279",0.017,700
RIVERS,"42,279",0.017,701
EVERETT,"42,279",0.017,702
BRADSHAW,"42,279",0.017,703
PUGH,"42,279",0.017,704
VELEZ,"42,279",0.017,705
RUSH,"42,279",0.017,706
ESTES,"42,279",0.017,707
DODSON,"42,279",0.017,708
MORSE,"42,279",0.017,709
SHEPPARD,"42,279",0.017,710
WEEKS,"42,279",0.017,711
CAMACHO,"42,279",0.017,712
BEAN,"42,279",0.017,713
BARRON,"42,279",0.017,714
LIVINGSTON,"42,279",0.017,715
MIDDLETON,"39,792",0.016,716
SPEARS,"39,792",0.016,717
BRANCH,"39,792",0.016,718
BLEVINS,"39,792",0.016,719
CHEN,"39,792",0.016,720
KERR,"39,792",0.016,721
MCCONNELL,"39,792",0.016,722
HATFIELD,"39,792",0.016,723
HARDING,"39,792",0.016,724
ASHLEY,"39,792",0.016,725
SOLIS,"39,792",0.016,726
HERMAN,"39,792",0.016,727
FROST,"39,792",0.016,728
GILES,"39,792",0.016,729
BLACKBURN,"39,792",0.016,730
WILLIAM,"39,792",0.016,731
PENNINGTON,"39,792",0.016,732
WOODWARD,"39,792",0.016,733
FINLEY,"39,792",0.016,734
MCINTOSH,"39,792",0.016,735
KOCH,"39,792",0.016,736
BEST,"39,792",0.016,737
SOLOMON,"39,792",0.016,738
MCCULLOUGH,"39,792",0.016,739
DUDLEY,"39,792",0.016,740
NOLAN,"39,792",0.016,741
BLANCHARD,"39,792",0.016,742
RIVAS,"39,792",0.016,743
BRENNAN,"39,792",0.016,744
MEJIA,"39,792",0.016,745
KANE,"39,792",0.016,746
BENTON,"39,792",0.016,747
JOYCE,"39,792",0.016,748
BUCKLEY,"39,792",0.016,749
HALEY,"39,792",0.016,750
VALENTINE,"39,792",0.016,751
MADDOX,"39,792",0.016,752
RUSSO,"39,792",0.016,753
MCKNIGHT,"39,792",0.016,754
BUCK,"39,792",0.016,755
MOON,"39,792",0.016,756
MCMILLAN,"39,792",0.016,757
CROSBY,"39,792",0.016,758
BERG,"39,792",0.016,759
DOTSON,"39,792",0.016,760
MAYS,"39,792",0.016,761
ROACH,"39,792",0.016,762
CHURCH,"39,792",0.016,763
CHAN,"39,792",0.016,764
RICHMOND,"39,792",0.016,765
MEADOWS,"39,792",0.016,766
FAULKNER,"39,792",0.016,767
ONEILL,"39,792",0.016,768
KNAPP,"39,792",0.016,769
KLINE,"37,305",0.015,770
BARRY,"37,305",0.015,771
OCHOA,"37,305",0.015,772
JACOBSON,"37,305",0.015,773
GAY,"37,305",0.015,774
AVERY,"37,305",0.015,775
HENDRICKS,"37,305",0.015,776
HORNE,"37,305",0.015,777
SHEPARD,"37,305",0.015,778
HEBERT,"37,305",0.015,779
CHERRY,"37,305",0.015,780
CARDENAS,"37,305",0.015,781
MCINTYRE,"37,305",0.015,782
WHITNEY,"37,305",0.015,783
WALLER,"37,305",0.015,784
HOLMAN,"37,305",0.015,785
DONALDSON,"37,305",0.015,786
CANTU,"37,305",0.015,787
TERRELL,"37,305",0.015,788
MORIN,"37,305",0.015,789
GILLESPIE,"37,305",0.015,790
FUENTES,"37,305",0.015,791
TILLMAN,"37,305",0.015,792
SANFORD,"37,305",0.015,793
BENTLEY,"37,305",0.015,794
PECK,"37,305",0.015,795
KEY,"37,305",0.015,796
SALAS,"37,305",0.015,797
ROLLINS,"37,305",0.015,798
GAMBLE,"37,305",0.015,799
DICKSON,"37,305",0.015,800
BATTLE,"37,305",0.015,801
SANTANA,"37,305",0.015,802
CABRERA,"37,305",0.015,803
CERVANTES,"37,305",0.015,804
HOWE,"37,305",0.015,805
HINTON,"37,305",0.015,806
HURLEY,"37,305",0.015,807
SPENCE,"37,305",0.015,808
ZAMORA,"37,305",0.015,809
YANG,"37,305",0.015,810
MCNEIL,"37,305",0.015,811
SUAREZ,"37,305",0.015,812
CASE,"37,305",0.015,813
PETTY,"37,305",0.015,814
GOULD,"37,305",0.015,815
MCFARLAND,"37,305",0.015,816
SAMPSON,"37,305",0.015,817
CARVER,"37,305",0.015,818
BRAY,"37,305",0.015,819
ROSARIO,"37,305",0.015,820
