Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-018375,2016-10,04/19/2016 11:38,Y, , ,1, , 41203,4,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,2764,BACON,59, , , , ,0,0
16-018375,2016-10,04/19/2016 11:38, , , ,-1, , 10000,4,HOMICIDE,2764,BACON,59, , , , ,0,0
16-018375,2016-10,04/19/2016 11:38, , , ,1, , 10000,4,HOMICIDE,2764,BACON,59, , , , ,0,0
16-051366,2016-10,04/22/2016 21:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3212,ST LOUIS AVE,59, ,NUISANCE ABATEMENT PROPERTY,3212,ST LOUIS,900211.9,1027134
16-019332,2016-10,04/24/2016 19:00,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3675,LOUGHBOROUGH,80,CARONDELET PARK, , , ,0,0
16-019332,2016-10,04/24/2016 19:00,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3675,LOUGHBOROUGH,80,CARONDELET PARK, , , ,0,0
16-019332,2016-10,04/24/2016 19:00, , , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3675,LOUGHBOROUGH,80,CARONDELET PARK, , , ,0,0
16-052878,2016-10,04/25/2016 00:01,Y, , ,1, , 44021,4,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 1ST DEGRE",205,N 18TH ST,36, ,@RAILTON HOTEL,205,18TH,904158.9,1018716
16-054571,2016-10,04/27/2016 09:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5825,MCARTHUR AVE,70, , ,5825,MCARTHUR,885516.5,1039605
16-052362,2016-10,04/28/2015 09:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,919,JEFFERSON,902219.7,1021301
16-050223,2016-10,05/01/2010 13:04,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5415,PENNSYLVANIA AVE,1, , ,5415,PENNSYLVANIA,893905.4,994271.9
16-053244,2016-10,05/01/2016 00:01,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5503,HODIAMONT,50, , ,4200,LABADIE,0,0
16-053500,2016-10,05/01/2016 08:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4250,VIRGINIA AVE,16, , ,4250,VIRGINIA,894240,999763.6
16-021176,2016-10,05/04/2016 17:48, , , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1615,BROADWAY,64, , ,1615,BROADWAY,0,0
16-051679,2016-10,05/05/2016 08:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4362,DUNCAN AVE,38, , ,1,CHILDRENS,889955.4,1020578
16-050035,2016-10,05/09/2016 14:27,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3224,OSCEOLA ST,16, , ,3224,OSCEOLA,894101.5,998918.9
16-055481,2016-10,05/13/2016 08:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,1,N EUCLID AVE,38,GREAT SOUTHRN BANK, ,1,EUCLID,888101.4,1022192
16-052365,2016-10,05/14/2016 11:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1410,OHIO AVE,31, , ,5034,RAYMOND,899701.4,1014582
16-051368,2016-10,05/15/2016 02:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3212,ST LOUIS AVE,59, ,NUISANCE ABATEMENT PROPERTY,3212,ST LOUIS,900211.9,1027134
16-023613,2016-10,05/17/2016 17:14,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5700,LINDELL BLVD,82,HISTORY MUESEUM,@FOREST PARK - HISTORY MUSEUM WEST P,5700,LINDELL,881336.1,1024178
16-055447,2016-10,05/21/2014 09:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3721,S GRAND BLVD,15, , , , ,893385.4,1003893
16-054596,2016-10,06/01/2015 01:00,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,4320,FOREST PARK AVE,38,STEREOTAXIS INC, ,4320,FOREST PARK,890761.6,1020719
16-053941,2016-10,06/01/2016 00:12,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3911,LINDELL BLVD,38, , ,3911,LINDELL,894126.6,1021600
16-052107,2016-10,06/03/2016 17:00,Y, , ,1, , 69702,0,LARCENY-ALL OTHER UNDER $500,0,UNKNOWN,0, , , , ,0,0
16-054926,2016-10,06/04/2015 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3400,OHIO AVE,19, , ,3400,OHIO,0,0
15-028186,2016-10,06/07/2015 07:00, , , ,-1, , 43022,6,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE,5256,BEACON,72, , ,5256,BEACON,0,0
16-051745,2016-10,06/10/2016 09:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4708,GREER AVE,55, , ,4708,GREER,892320.4,1032646
16-052796,2016-10,06/10/2016 12:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,4301,LINDELL BLVD,38,US BANK,@US BANK - LINDELL,4301,LINDELL,891374.5,1022502
16-028743,2016-10,06/14/2016 10:20,Y, , ,1, ,151110,1,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3244,LIBERTY ST,16, ,SEARCH WARRANT,3244,LIBERTY,893506.1,996649.8
16-055655,2016-10,06/15/2016 14:30,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4567,ALCOTT AVE,72, , ,4567,ALCOTT,890433,1040730
16-050454,2016-10,06/15/2016 14:42,Y, , ,1, ,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3430,S GRAND BLVD,25, , ,919,JEFFERSON,893788.8,1005469
16-054028,2016-10,06/23/2016 11:57,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2636,RUTGER ST,31, , ,2636,RUTGER,900167.1,1014793
16-050466,2016-10,06/29/2016 12:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",3317,N EUCLID AVE,55, , ,3317,EUCLID,891304.8,1034010
16-050894,2016-10,06/29/2016 16:59,Y, , ,1, ,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,2672,PARK AVE,31, , ,2672,PARK,899518,1014067
16-051960,2016-10,07/01/2016 05:30,Y, , ,1, , 95100,4,"STALKING (HARASSMENT ONLY, NO THREAT)",1400,N VANDEVENTER AVE,77, , ,3908,ST FERDINAND,896543.8,1025616
16-052258,2016-10,07/01/2016 07:33,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2740,GEYER AVE,24, , ,919,JEFFERSON,898684.7,1012234
16-052339,2016-10,07/01/2016 11:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1116,S 14TH ST,33, , ,1116,14TH,904585.4,1014090
16-046402,2016-10,07/01/2016 11:45,Y, , ,1, ,103000,5,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,5249,MAFFITT AVE,52, , ,5214,MAFFITT,888233.9,1033753
16-032886,2016-10,07/06/2016 09:24, , , ,-1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,2019,ALICE,68, , ,2019,ALICE,0,0
16-053714,2016-10,07/07/2016 12:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3307,UTAH ST,25, , ,2814,ARSENAL,894945.4,1006320
16-052776,2016-10,07/07/2016 18:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6012,NORTH POINTE BLVD,73, , , , ,891495.3,1047976
16-053343,2016-10,07/09/2016 16:23,Y, , ,1, ,101000,3,FORGERY,2343,HICKORY ST,32, , ,2343,HICKORY,900592.5,1014891
16-054640,2016-10,07/10/2016 08:01,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5829,BARTMER AVE,48, ,RESIDENCE,5829,BARTMER,881180.1,1030456
16-051741,2016-10,07/13/2016 11:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4708,GREER AVE,55, , ,4708,GREER,892320.4,1032646
16-049663,2016-10,07/14/2016 09:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3968,BATES ST,3, , ,3968,BATES,888017.8,997395.9
16-050800,2016-10,07/15/2016 19:25,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4310,ST FERDINAND AVE,57, ,@JAMES HOUSE,4310,ST FERDINAND,894071.9,1029178
16-048150,2016-10,07/17/2016 20:14,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1615,OFALLON ST,62,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1615,OFALLON,905421.5,1022269
16-035155,2016-10,07/18/2016 15:27,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4744,ANDERSON AVE,69, , ,4744,ANDERSON,894361.1,1036596
16-035429,2016-10,07/19/2016 22:56,Y, , ,1, , 69603,6,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",0,CARTER AVE / N NEWSTEAD AVE,68, ,ON BI-STATE BUS, , ,897076,1035709
16-051370,2016-10,07/22/2016 20:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3212,SAINT LOUIS AVE,59, ,NUISANCE ABATEMENT PROPERTY,3212,SAINT LOUIS,900393.3,1027144
16-053419,2016-10,07/23/2016 10:57,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1522,CLARA AVE,50,ARLINGTON GROVE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,1522,CLARA,884468.8,1033073
16-037199,2016-10,07/25/2016 13:57, , , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,5250,PAGE,51, ,: @PARK- MARIE W FOWLER, , ,0,0
16-037199,2016-10,07/25/2016 13:57, , , ,-1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5250,PAGE,51, ,: @PARK- MARIE W FOWLER, , ,0,0
16-051734,2016-10,07/28/2016 19:35,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4708,GREER AVE,55, , ,4708,GREER,892320.4,1032646
16-050878,2016-10,07/29/2016 11:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,LASALLE ST,33, , ,1400,LASALLE,904482.8,1014212
16-037347,2016-10,07/29/2016 22:00,Y, , ,1, , 83000,2,ARSON-KNOWINGLY BURNING/SUCCESS,4140,SHENANDOAH,27, , ,414,SHENANDOAH,0,0
16-055890,2016-10,07/30/2014 18:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7410,HALL ST,79, ,@CITY TOW,4359,COLLEGE,899571.8,1044964
16-052659,2016-10,07/30/2016 19:00,Y, , ,1, , 73313,4,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,0,I 44 EASTBOUND / WASHINGTON AV,35, , ,999,2ND,909948.2,1018283
16-055671,2016-10,07/31/2016 13:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,710,N KINGSHIGHWAY BLVD,53,ALDI GROCERY STORE,ALDI GROCERY STORE,5703,WATERMAN,887772.9,1026200
16-049964,2016-10,08/01/2015 08:41,Y, , ,1, ,179100,5,RISKING INFECTION OF ANOTHER BY HIV,5600,LOTUS AVE,50, , ,5600,LOTUS,0,0
16-052102,2016-10,08/01/2016 00:01,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",100,N BROADWAY,35, ,15TH FLOOR UNION PACIFIC OFFICE,100,BROADWAY,909072.7,1017093
16-051220,2016-10,08/01/2016 10:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,607,N GRAND BLVD,77, , ,607,GRAND,896930.7,1021874
16-053075,2016-10,08/01/2016 23:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,911,MANHATTAN PL,62, , ,911,MANHATTAN,908580.1,1021740
16-038037,2016-10,08/02/2016 10:42,Y, , ,1, , 41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3120,NEBRASKA AVE,30, ,1ST FL,3120,NEBRASKA,897162.4,1007449
16-038078,2016-10,08/02/2016 13:34,Y, , ,1, , 41203,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,5814,THEODOSIA AVE,50, , , , ,883153.9,1033955
16-051770,2016-10,08/02/2016 14:31,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,2800,STODDARD ST,59, , ,2800,STODDARD,0,0
16-050444,2016-10,08/02/2016 19:35,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1110,WASHINGTON AVE,35, , ,1110,WASHINGTON,907161.8,1018819
16-053990,2016-10,08/03/2016 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,3529,N NEWSTEAD AVE,56, , ,3529,NEWSTEAD,895104.8,1032383
16-052890,2016-10,08/03/2016 15:00,Y, , ,1, ,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,2820,CHIPPEWA ST,16, , ,2820,CHIPPEWA,896677.2,1002528
16-052964,2016-10,08/05/2016 00:01,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5601,THEODOSIA AVE,50, , ,4014,UNION,884436.3,1033295
16-050645,2016-10,08/07/2016 09:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1102,DILLON DR,33, , ,1102,DILLON,904006.9,1014252
16-050453,2016-10,08/08/2016 00:01,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1442,CHOUTEAU AVE,33, , ,1442,CHOUTEAU,904053.8,1013944
16-039146,2016-10,08/08/2016 02:00, , , ,-1, , 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",4950,FARLIN,69, , ,4950,FARLIN,0,0
16-051352,2016-10,08/09/2016 06:25,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1422,HOGAN ST,62,MURPHY PARK APARTMENTS,NUISANCE ABATEMENT PROPERTY,1422,HOGAN,905305.6,1022738
16-050208,2016-10,08/09/2016 10:05,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,3534,GRATIOT ST,37, , ,3534,GRATIOT,895678.3,1017375
16-051901,2016-10,08/09/2016 12:45,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3014,N 25TH,60, ,NUSIANCE ABATMENT PROPERTY,3014,N 25TH,0,0
16-051338,2016-10,08/09/2016 13:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1722,COCHRAN PL,62,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1722,COCHRAN,905432.7,1022657
16-039407,2016-10,08/09/2016 16:49,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,2830,GAMBLE ST,59, , ,2830,GAMBLE,901086.1,1022366
16-051304,2016-10,08/10/2016 09:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5827,HARNEY AVE,72, ,NUISANCE ABATEMENT PROPERTY,5827,HARNEY,891613.6,1045483
16-053151,2016-10,08/11/2016 14:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N BROADWAY / I 70 EASTBOUND,62, , , , ,909771.3,1021248
16-050633,2016-10,08/11/2016 14:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3751,S JEFFERSON AVE,19, , ,3751,JEFFERSON,898162.7,1002525
16-051839,2016-10,08/11/2016 18:00,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3454,TEXAS AVE,19, , ,1915,OLIVE,898331.9,1004482
16-051313,2016-10,08/11/2016 19:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3637,NEBRASKA AVE,19, , ,3637,NEBRASKA,896355.8,1003614
16-047247,2016-10,08/11/2016 21:10, , , ,1, , 21000,2,RAPE -- FORCIBLE,3800,FOLSOM AVE,29, , ,3800,FOLSOM,0,0
16-039844,2016-10,08/11/2016 22:00,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4305,VIRGINIA AVE,16, , ,4305,VIRGINIA,893976.6,999674.9
16-050895,2016-10,08/11/2016 23:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3411,S JEFFERSON AVE,19, , ,3411,JEFFERSON,898532,1004867
16-050653,2016-10,08/12/2016 16:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1828,OFALLON ST,61,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT  PROPERTY,1828,OFALLON,905159.4,1022129
16-040061,2016-10,08/12/2016 21:49, , , ,-1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4950,CHILDRENS,38, , ,4950,CHILDRENS,0,0
16-051767,2016-10,08/12/2016 22:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3958,KINGSLAND CT,16, , ,3958,KINGSLAND,890559.4,1001676
16-050392,2016-10,08/13/2016 16:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3636,S GRAND BLVD,19, , ,3636,GRAND,893513.3,1004053
16-051731,2016-10,08/13/2016 18:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4708,GREER AVE,55, , ,4708,GREER,892320.4,1032646
16-053085,2016-10,08/14/2016 12:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1214,N 8TH ST,62, , ,1214,8TH,908863.1,1020692
16-051775,2016-10,08/14/2016 14:14,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12,U-HAUL, ,1241,KINGSHIGHWAY,886712.8,1014540
16-053080,2016-10,08/14/2016 16:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,912,CASS AVE,62, , ,912,CASS,908857.1,1022102
16-051740,2016-10,08/15/2016 08:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1013,MORRISON AVE,34, , ,1013,MORRISON,905785.8,1013147
16-051921,2016-10,08/15/2016 10:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2543,N GRAND BLVD,59,IP 54 NIGHT CLUB,NUISANCE ABATEMENT PROPERTY,2543,GRAND,899361.5,1026965
16-053156,2016-10,08/15/2016 12:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3922,MINNESOTA AVE,16, , ,3922,MINNESOTA,895603.4,1001851
16-040821,2016-10,08/16/2016 15:40,Y, , ,1, , 43015,4,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3409,DELMAR BLVD,77, , ,3409,DELMAR,898090.4,1021949
16-055856,2016-10,08/16/2016 15:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3409,DELMAR BLVD,77, , ,3409,DELMAR,898090.4,1021949
16-040821,2016-10,08/16/2016 15:40,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,3409,DELMAR BLVD,77, , ,3409,DELMAR,898090.4,1021949
16-050389,2016-10,08/16/2016 22:04,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
16-050671,2016-10,08/17/2016 10:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1830,OFALLON ST,61,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1830,OFALLON,905147.8,1022132
16-054610,2016-10,08/17/2016 13:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4116,W LEE AVE,68, , ,4116,LEE,898364.8,1033386
16-052898,2016-10,08/18/2016 00:01,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3238,PENNSYLVANIA AVE,30, , ,3238,PENNSYLVANIA,896631.3,1006217
16-041269,2016-10,08/18/2016 13:00,Y, , ,1, , 44015,6,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,4317,ASHLAND AVE,56, , ,4014,UNION,895416,1031969
16-051759,2016-10,08/19/2016 11:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1023,SPRUCE ST,35, , ,1023,SPRUCE,906589.4,1016244
16-050386,2016-10,08/19/2016 20:19,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1700,PRESERVATION PL,62,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1700,PRESERVATION,906189.8,1022184
16-050658,2016-10,08/20/2016 04:23,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2700,HENRIETTA ST,31, , ,2700,HENRIETTA,899085.4,1013180
16-051755,2016-10,08/20/2016 07:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1457,PEABODY CT,33, , ,1457,PEABODY,904206.2,1013767
16-054730,2016-10,08/20/2016 09:16,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,5188,DR MARTIN LUTHER KING DR,51,PAWN KING,PAWN SHOP,5188,DR MARTIN LUTHER KING,886575.4,1031181
16-055665,2016-10,08/20/2016 12:44,Y, , ,1, , 72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2808,N GRAND BLVD,59,TUCKERS CORNER MART, ,2808,GRAND,900026.6,1027514
16-050431,2016-10,08/20/2016 13:34,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON,59, , ,919,JEFFERSON,0,0
16-041666,2016-10,08/21/2016 01:22,Y, , ,1, , 81000,5,ARSON-1ST DEGREE/SUCCESS,1145,HODIAMONT AVE,48, , ,1145,HODIAMONT,879489.9,1031149
16-053068,2016-10,08/21/2016 13:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1421,N 8TH ST,62, , ,1421,8TH,909212.8,1022017
16-050836,2016-10,08/21/2016 23:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1515,PRESERVATION PL,62,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1515,PRESERVATION,906189.8,1022184
16-041982,2016-10,08/22/2016 18:07,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,I 64 EASTBOUND / S KINGSHIGHWA,40, , , , ,887218.9,1018721
16-051927,2016-10,08/22/2016 21:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2901,OHIO AVE,30, , ,2901,OHIO,898416.3,1007986
16-052897,2016-10,08/22/2016 21:20,Y, , ,1, ,262200,3,PORNAGRAPHY-FURNISHING TO MINOR,3620,KOSCIUSKO ST,18, ,MULTI FAMILY,3620,KOSCIUSKO,901409,1002975
