WEATHER STATION,LOCATION,RAINFALL
ANAIKARANCHATRAM,"ANAIKARANCHATRAM, TAMIL NADU",3
ORTHANAD,"ORTHANAD, TAMIL NADU",3
OMALUR,"OMALUR, TAMIL NADU",3
HARUR,"HARUR, TAMIL NADU",2
SATHANUR DAM,"SATHANUR DAM, TAMIL NADU",2
ALANGUDI,"ALANGUDI, TAMIL NADU",2
PANDAVAIYAR HEAD,"PANDAVAIYAR HEAD, TAMIL NADU",2
TOZHUDUR,"TOZHUDUR, TAMIL NADU",2
PANRUTI,"PANRUTI, TAMIL NADU",2
GUDIYATHAM,"GUDIYATHAM, TAMIL NADU",2
CHENGAM,"CHENGAM, TAMIL NADU",2
TIRUKATTUPALLI,"TIRUKATTUPALLI, TAMIL NADU",2
BARUR,"BARUR, TAMIL NADU",2
SALEM,"SALEM, TAMIL NADU",2
PAPANASAM,"PAPANASAM, TAMIL NADU",2
THIRUMANUR,"THIRUMANUR, TAMIL NADU",2
KALLAKURICHI,"KALLAKURICHI, TAMIL NADU",2
YERCAUD,"YERCAUD, TAMIL NADU",1
ARIYALUR,"ARIYALUR, TAMIL NADU",1
ALANGAYAM,"ALANGAYAM, TAMIL NADU",1
THIRUVIDAIMARUTHUR,"THIRUVIDAIMARUTHUR, TAMIL NADU",1
K.M.KOIL,"K.M.KOIL, TAMIL NADU",1
GANDARVAKOTTAI,"GANDARVAKOTTAI, TAMIL NADU",1
MANAMELKUDI,"MANAMELKUDI, TAMIL NADU",1
PAMBAN,"PAMBAN, TAMIL NADU",1
DHARMAPURI PTO,"DHARMAPURI PTO, TAMIL NADU",1
AMBUR,"AMBUR, TAMIL NADU",1
ARIMALAM,"ARIMALAM, TAMIL NADU",1
DHARAMAPURI,"DHARAMAPURI, TAMIL NADU",1
UTHANGARAI,"UTHANGARAI, TAMIL NADU",1
PAPPIREDDIPATTI,"PAPPIREDDIPATTI, TAMIL NADU",1
MARANDAHALLI,"MARANDAHALLI, TAMIL NADU",1
PENNAGARAM,"PENNAGARAM, TAMIL NADU",1
PERUNGALUR,"PERUNGALUR, TAMIL NADU",1
TIRUVAIYARU,"TIRUVAIYARU, TAMIL NADU",1
VALLAM,"VALLAM, TAMIL NADU",1
VANIAYMBADI,"VANIAYMBADI, TAMIL NADU",1
THANJAVUR PTO,"THANJAVUR PTO, TAMIL NADU",1
ANJATTI,"ANJATTI, TAMIL NADU",1
KRISHNAGIRI,"KRISHNAGIRI, TAMIL NADU",1
KUMBAKONAM,"KUMBAKONAM, TAMIL NADU",1
PALACODE,"PALACODE, TAMIL NADU",1
VAZHAPADI,"VAZHAPADI, TAMIL NADU",1
TIRUPATHUR PTO,"TIRUPATHUR PTO, TAMIL NADU",1
