Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-009663,2020-02,01/04/2020 15:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1118,GRATTAN,33, , ,1430,CHOUTEAU,0,0
20-002327,2020-02,01/05/2020 00:01, , , ,1, ,242000,6,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4928,PLOVER,72, , ,4014,UNION,0,0
20-002327,2020-02,01/05/2020 00:01, , , ,-1, , 92000,6,SIMPLE ASSAULT-HARRASSMENT,4928,PLOVER,72, , ,4014,UNION,0,0
20-008133,2020-02,01/05/2020 00:01,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,4493,FOREST PARK AVE,38,AT&T, ,4493,FOREST PARK,889164.2,1021486
20-000800,2020-02,01/05/2020 17:33,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,1200,RUSSELL AVE,21, ,@BAR-MCGURKS,1200,RUSSELL,903096.3,1010200
20-009285,2020-02,01/06/2020 12:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,5974,ROMAINE PL,78, , ,5974,ROMAINE,881006.2,1033406
20-006723,2020-02,01/06/2020 13:18, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5324,BLOW ST,6, , ,5324,BLOW,879721.6,997015.1
20-006723,2020-02,01/06/2020 13:18,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5324,BLOW ST,6, , ,5324,BLOW,879721.6,997015.1
20-006911,2020-02,01/06/2020 16:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3736,SALENA ST,18, , ,3736,SALENA,899944.5,1002357
20-005407,2020-02,01/06/2020 16:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,E SCHIRMER ST / WATER ST,2, , , , ,889516.7,987755.3
20-007187,2020-02,01/06/2020 19:28,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
20-009094,2020-02,01/07/2020 02:12,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8241,CHURCH RD,74, , ,8319,CHURCH,896400.6,1048367
20-006849,2020-02,01/07/2020 03:10,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4408,W FLORISSANT AVE,69, , ,4408,FLORISSANT,898630.3,1036933
20-009490,2020-02,01/07/2020 03:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3417,MERAMEC,16, , ,3417,MERAMEC,0,0
20-001090,2020-02,01/07/2020 10:00,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,5959,PAGE BLVD,78, , , , ,880819.9,1032749
20-001175,2020-02,01/07/2020 16:01,Y, , ,1, , 69711,5,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,5587,LINDELL BLVD,47, , ,5587,LINDELL,882304.3,1024347
20-001177,2020-02,01/07/2020 17:49,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4624,LEE,69, , ,4624,LEE,0,0
20-001177,2020-02,01/07/2020 17:49, , , ,-1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4624,LEE,69, , ,4624,LEE,0,0
20-005730,2020-02,01/07/2020 23:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4200,FINNEY AVE,58, , ,4200,FINNEY,0,0
20-001368,2020-02,01/08/2020 16:30,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,22,HAMPTON VILLAGE PLZ,7, , ,22,HAMPTON VILLAGE,879605.4,1004743
20-001721,2020-02,01/08/2020 17:00,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4751,NEBRASKA AVE,17, ,RESIDENCE/ HOME,4553,BROADWAY,895190.4,996348.3
20-001365,2020-02,01/08/2020 17:08,Y, , ,1, ,183999,3,DRUGS-SALE/OTHR UNSPEC DRUG,2800,MICHIGAN AVE,25, , ,2800,MICHIGAN,896438.4,1009446
20-009485,2020-02,01/08/2020 18:38,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4130,S GRAND BLVD,16, , ,4130,GRAND,893388.9,1000727
20-006887,2020-02,01/08/2020 19:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-007194,2020-02,01/09/2020 03:10,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
20-006851,2020-02,01/09/2020 09:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4612,PENROSE ST,69, , ,4612,PENROSE,895045.5,1035533
20-001496,2020-02,01/09/2020 12:00,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,4117,W CARTER AVE,68, , ,4117,CARTER,898949.7,1034460
20-001688,2020-02,01/10/2020 15:52,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,1408,N KINGSHIGHWAY BLVD,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
20-006118,2020-02,01/10/2020 19:28,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-006709,2020-02,01/11/2020 09:15,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6005,SHULTE AVE,76, , ,6005,SHULTE,890774.4,1046483
20-006710,2020-02,01/11/2020 09:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6005,SHULTE AVE,76, , ,6005,SHULTE,890774.4,1046483
20-006973,2020-02,01/11/2020 17:11,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,8120,PENNSYLVANIA AVE,2, , ,8120,PENNSYLVANIA,887924.1,986944
20-008190,2020-02,01/11/2020 19:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3518,S GRAND BLVD,25, , ,3518,GRAND,893530.5,1004900
20-006297,2020-02,01/12/2020 12:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4715,MCPHERSON AVE,38, , ,4715,MCPHERSON,888931.4,1024913
20-001993,2020-02,01/12/2020 17:50,Y, , ,1, , 38112,4,ROBBERY CARJACKING /FIREARM USED/ATTEMPT,701,DICKSON ST,62, , ,701,DICKSON,909422.4,1021549
20-005410,2020-02,01/12/2020 21:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4606,WILCOX AVE,5, , ,4606,WILCOX,885013.4,1000786
20-006700,2020-02,01/13/2020 12:00,Y, , ,1, ,111110,6,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3816,UNION BLVD,70,RICHARDS BRICK CO, ,3816,UNION,889772.8,1036569
20-005963,2020-02,01/13/2020 12:28,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4600,S BROADWAY,17, , ,4600,BROADWAY,896497.6,997157.3
20-002170,2020-02,01/13/2020 18:50,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N JEFFERSON AVE / MARKET ST,36, , , , ,901481.3,1018754
20-008223,2020-02,01/13/2020 19:19,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,1720,S 9TH ST,21, , ,1720,9TH,905128.1,1011103
20-006897,2020-02,01/13/2020 20:13,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-009422,2020-02,01/13/2020 20:15,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1042,LOUGHBOROUGH AVE,1, ,@QDOBA - LOUGHBOROUGH,1042,LOUGHBOROUGH,888177.8,992117.5
20-006847,2020-02,01/13/2020 22:10,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,5590,FLORISSANT,900558.8,1038456
20-007259,2020-02,01/14/2020 14:35,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5290,WATERMAN BLVD,38, , ,5290,WATERMAN,884922.5,1025152
20-002378,2020-02,01/14/2020 21:21,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,4372,COTTAGE AVE,57, , ,4372,COTTAGE,894343.6,1029494
20-008377,2020-02,01/15/2020 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,74,WILLMORE RD,8, , ,74,WILLMORE,875990.8,998702.8
20-008535,2020-02,01/15/2020 09:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4360,LEXINGTON AVE,56, , ,4360,LEXINGTON,895269.4,1032456
20-006900,2020-02,01/15/2020 12:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-002467,2020-02,01/15/2020 13:00,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4266,ENRIGHT AVE,58, , ,4266,ENRIGHT,892439.6,1025008
20-007529,2020-02,01/15/2020 13:15,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5456,CLAXTON AVE,71, , ,5456,CLAYTON,894221.4,1041967
20-002495,2020-02,01/15/2020 15:00,Y, , ,1, , 43201,6,AGG.ASSAULT-OTH DANG WEP/POL OFFC 1ST DEGREE,0,GILMORE AVE / HARNEY AVE,72, , , , ,891858,1044919
20-009429,2020-02,01/15/2020 18:14,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1020,LOUGHBOROUGH AVE,1, ,@SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,888369.9,991903
20-009454,2020-02,01/16/2020 07:37,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4623,ADKINS AVE,5, , ,4623,ADKINS,888069.3,1001017
20-006924,2020-02,01/16/2020 09:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,1315,CHESTNUT ST,36,SOLDIERS MEMORIAL, ,1315,CHESTNUT,905900.4,1018013
20-009657,2020-02,01/16/2020 09:10,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,905,LASALLE,34, , ,905,LASALLE,0,0
20-006149,2020-02,01/16/2020 13:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,0,MARCUS AVE / SAN FRANCISCO AVE,69, , , , ,893546.7,1034587
20-002680,2020-02,01/16/2020 14:00, , , ,-1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,4736,BESSIE,69, , ,4736,BESSIE,0,0
20-002701,2020-02,01/16/2020 17:57,Y, , ,1, ,183999,5,DRUGS-SALE/OTHR UNSPEC DRUG,4422,MAFFITT AVE,57, , ,4014,UNION,894032.8,1030506
20-007809,2020-02,01/17/2020 12:10,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3625,LIERMANN AVE,16, , ,3625,LIERMANN,892880.7,1001805
20-002846,2020-02,01/17/2020 16:15,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5919,THEODOSIA AVE,50, , ,5919,THEODOSIA,882285.6,1034724
20-002895,2020-02,01/17/2020 20:30,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,601,CLARK AVE,35, ,@BALLPARK VILLAGE,601,CLARK,908223.8,1016086
20-002875,2020-02,01/17/2020 20:43,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,KENNERLY AVE / N NEWSTEAD AVE,57, , , , ,893927.3,1030089
20-006909,2020-02,01/18/2020 07:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2233,WASHINGTON AVE,36, , ,2233,WASHINGTON,902599.4,1020249
20-002927,2020-02,01/18/2020 09:26,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION,3431,UNION,888884.8,1036000
20-005607,2020-02,01/18/2020 13:43,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",5920,NORTH POINTE BLVD,73, , ,5920,NORTH POINTE,892350.4,1047497
20-007268,2020-02,01/18/2020 21:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,904,S 4TH ST,35, , ,2916,GRAVOIS,908271.3,1013662
20-003042,2020-02,01/18/2020 23:40, , , ,-1, , 41011,0,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE, , ,0, , , , ,0,0
20-007976,2020-02,01/19/2020 09:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,1515,ARLINGTON AVE,50, , ,1515,ARLINGTON,885685.1,1032168
20-007196,2020-02,01/19/2020 12:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69, , ,3720,KINGSHIGHWAY,891316,1035410
20-003137,2020-02,01/19/2020 15:00,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,227,N EUCLID AVE,38, , ,227,EUCLID,888310,1023427
20-006902,2020-02,01/19/2020 16:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-009284,2020-02,01/19/2020 17:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6940,IDAHO AVE,1, , ,6940,IDAHO,889013.6,991172.4
20-007198,2020-02,01/19/2020 18:35,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8306,N BROADWAY,74, , ,8306,BROADWAY,897254.8,1048447
20-006850,2020-02,01/20/2020 00:25,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4447,NATURAL BRIDGE AVE,69, , ,4447,NATURAL BRIDGE,894946.5,1033224
20-006122,2020-02,01/20/2020 07:30,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,1326,SAN JACINTO CT,44, , ,1326,SAN JACINTO,877750.9,1017153
20-003198,2020-02,01/20/2020 07:56,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4075,FINNEY AVE,58, ,APT A,4075,FINNEY,894632.5,1025139
20-005514,2020-02,01/20/2020 08:45,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6050,POINTVIEW LN,88, , ,6050,POINTVIEW,873960.6,999661.6
20-007195,2020-02,01/20/2020 10:05,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5464,N KINGSHIGHWAY BLVD,71, , ,5464,KINGSHIGHWAY,895170.8,1040504
20-003228,2020-02,01/20/2020 12:00,Y, , ,1, ,183130,6,DRUGS-SALE/HEROIN,4474,PENROSE ST,69, , ,919,JEFFERSON,895786.3,1035158
20-008217,2020-02,01/20/2020 13:00,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,922,LOUGHBOROUGH AVE,1, , ,1042,LOUGHBOROUGH,888778.7,991826.9
20-009342,2020-02,01/20/2020 16:24,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,4021,NEBRASKA AVE,16, , ,4021,NEBRASKA,895967.7,1001152
20-003273,2020-02,01/20/2020 16:30,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,1602,ARLINGTON AVE,50, ,BLK,5300,THEODOSIA,885960.6,1032224
20-003302,2020-02,01/20/2020 19:31,Y, , ,1, , 65711,5,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT,915,N TAYLOR AVE,54,HOPEWELL CHURCH, ,915,TAYLOR,890593.9,1026466
20-003305,2020-02,01/20/2020 20:00,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,RIDGE AVE / SEMPLE AVE,78, , , , ,884925.8,1031154
20-008173,2020-02,01/21/2020 03:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
20-005703,2020-02,01/21/2020 08:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3872,HUMPHREY ST,15, , ,3872,HUMPHREY,891798.8,1006907
20-003424,2020-02,01/21/2020 08:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,2000,MADISON ST,60, , , , ,904374.2,1024178
20-006007,2020-02,01/21/2020 10:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5034,LOUISIANA AVE,16, , ,4402,MIAMI,891978.8,996795.8
20-005953,2020-02,01/21/2020 10:40,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3715,JAMIESON AVE,9,KACEY PAGE ASSISTED LIVING, ,3715,JAMIESON,874718.1,1006244
20-005830,2020-02,01/21/2020 14:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5387,QUEENS AVE,71, , ,5387,QUEENS,894367.9,1040623
20-003495,2020-02,01/21/2020 19:00,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1439,BELT AVE,78, , ,1539,BELT,884790.1,1031739
20-003510,2020-02,01/21/2020 19:40,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,5900,LOTUS,50,IN THE ALLEY, ,5900,LOTUS,881912.8,1035391
20-003509,2020-02,01/21/2020 20:45,Y, , ,1, ,182400,6,DRUGS-POSSESSION/MARIJUANA,3730,GOODFELLOW BLVD,70,RALLY S,@RALLYS- GOODFELLOW, , ,885748.6,1038969
20-003615,2020-02,01/22/2020 11:45,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,2311,INDIANA AVE,23, , ,2311,INDIANA,899743.7,1010023
20-004327,2020-02,01/22/2020 12:00, , , ,-1, , 52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,6138,WILSON,11, , ,6138,WILSON,0,0
20-003658,2020-02,01/22/2020 15:00,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,5300,NATURAL BRIDGE AVE,50, , ,5300,NATURAL BRIDGE,888623.3,1036251
20-006904,2020-02,01/22/2020 15:20,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
20-007197,2020-02,01/22/2020 16:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3949,PALM ST,56, , ,3949,PALM,898823,1030708
20-005792,2020-02,01/22/2020 18:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4224,MARYLAND AVE,38, , ,4224,MARYLAND,891906.4,1022523
20-007239,2020-02,01/23/2019 02:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,N BROADWAY / E GRAND AVE,64, , , , ,904809.8,1034159
20-006848,2020-02,01/23/2020 01:40,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
20-005345,2020-02,01/23/2020 12:00,Y, , ,1, ,242000,5,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,410,N NEWSTEAD AVE,38, , ,410,NEWSTEAD,890854.2,1023915
20-007237,2020-02,01/23/2020 12:37,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5025,WELLS AVE,51, , ,5025,WELLS,887975.8,1030280
20-005938,2020-02,01/23/2020 12:37,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5025,WELLS AVE,51, , ,5825,WELLS,887975.8,1030280
20-009648,2020-02,01/23/2020 13:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1413,PEABODY,33, , ,1430,CHOUTEAU,0,0
20-006013,2020-02,01/23/2020 13:30,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4384,GIBSON AVE,39, , ,4384,GIBSON,889529.3,1017794
20-009719,2020-02,01/23/2020 14:41,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,1112,BLENDON PL,44, , ,1112,BLENDON,874996.6,1018765
20-005890,2020-02,01/24/2020 06:26,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3155,S KINGSHIGHWAY BLVD,13,COURTESY DINER, ,3155,KINGSHIGHWAY,885956.3,1008670
20-006685,2020-02,01/24/2020 08:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4014,UNION BLVD,70,DISTRICT 5 INCIDENT,@NPD,4014,UNION,890074.4,1037079
20-006898,2020-02,01/24/2020 12:42,Y, , ,1, ,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,940,LOUGHBOROUGH AVE,1,GREAT SOUTHERN BANK,GREAT SOUTHERN BANK,940,LOUGHBOROUGH,888710.9,991871.2
20-005734,2020-02,01/24/2020 15:35,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,5352,ITASKA ST,7, , ,5352,ITASKA,881776.3,1001559
20-005800,2020-02,01/24/2020 16:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,6319,LILLIAN AVE,76, , ,6319,LILLIAN,887588.4,1044572
20-005308,2020-02,01/24/2020 17:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1088,MELVIN AVE,74, , ,1088,MELVIN,895403.1,1052396
20-004660,2020-02,01/24/2020 20:00,Y, , ,1, ,175100,5,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,2400,N KINGSHIGHWAY BLVD,52, , ,200,KINGSHIGHWAY,0,0
20-005846,2020-02,01/25/2020 00:01,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4056,OLIVE ST,38, , ,4056,OLIVE,893502.2,1022984
20-006264,2020-02,01/25/2020 10:00,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",4919,MINNESOTA AVE,17, , ,4919,MINNESOTA,894687,996331.6
